All 89 accesspoints
                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   00:24:6c:60:c8:42               -           -84.0          -84.67          -84.67           -84.7
   00:24:6c:60:c8:41               -               -           -84.5          -84.75           -85.5
   00:24:6c:60:c8:40               -           -91.0          -89.33           -89.0          -88.09
   00:24:6c:5c:01:a2          -70.33           -68.5          -67.27           -66.7           -67.3
   00:24:6c:5c:01:a0          -70.67           -68.9           -67.1           -66.3          -66.99
   00:24:6c:5c:01:a1           -74.0           -69.9          -67.67          -66.83          -67.33
   00:24:6c:60:cd:83               -          -82.25          -81.75          -83.77          -83.14
   00:24:6c:60:cd:82               -          -83.75          -82.42          -82.83          -83.25
   00:24:6c:60:cd:81               -           -82.5          -82.92          -82.94          -82.85
   00:24:6c:60:cd:80               -               -           -83.0          -83.75          -83.08
   00:24:6c:60:ca:00               -               -           -71.5          -71.65          -72.79
   00:24:6c:60:ca:01           -81.0          -71.17          -68.81          -68.85          -70.47
   00:24:6c:60:ca:02           -77.5           -72.0          -69.14          -69.02          -70.89
   00:24:6c:60:ca:03           -81.0          -72.44          -69.93          -69.86          -71.34
   00:24:6c:5c:01:b2           -84.5          -85.22          -87.52          -87.96          -87.66
   00:24:6c:5c:01:b1           -84.0          -85.56          -87.68           -88.0          -87.65
   00:24:6c:5c:01:b0           -83.5          -84.88          -87.42           -87.7          -87.37
   00:24:6c:60:cd:91               -               -           -95.0           -95.0           -94.5
   00:24:6c:60:cd:92               -          -93.67          -94.33          -94.14           -94.1
   00:24:6c:60:cd:93               -               -           -95.2          -94.85          -94.47
   00:24:6c:5c:02:31           -92.0          -91.75          -92.56          -92.67          -93.08
   00:24:6c:5c:02:30               -           -91.0           -91.0           -92.0           -92.0
   00:24:6c:5c:02:32           -94.0           -92.4          -92.91          -93.06           -93.0
   00:24:6c:60:c9:a3               -           -86.0          -84.58           -85.0           -85.0
   00:24:6c:60:c9:a2               -          -84.75          -85.92          -86.63          -86.83
   00:24:6c:60:c9:a1               -           -83.0           -82.5           -84.4           -84.4
   00:24:6c:60:c9:a0               -               -           -88.0          -89.33          -89.33
   18:64:72:15:10:80           -80.5           -80.4          -80.41          -79.91          -80.64
   68:7f:74:ca:6d:7d           -78.5           -77.8          -78.24          -78.61          -77.05
   18:64:72:15:10:81           -84.0          -86.67          -81.94           -81.0          -81.38
   00:24:6c:d2:99:42           -82.0          -80.29           -81.9          -82.46          -82.15
   00:24:6c:d2:99:43           -83.0           -81.0           -83.0          -83.67          -83.26
   00:24:6c:d2:99:40               -          -81.75           -82.5           -82.0          -81.95
   00:24:6c:d2:99:41               -          -80.17          -81.88          -81.93          -81.38
   00:12:17:b0:68:ca           -83.0          -84.33          -83.67          -82.53          -82.64
   00:12:17:b0:68:cd               -               -           -86.6           -86.6          -85.11
   00:24:6c:5c:02:22               -           -86.0           -86.5           -86.5          -84.22
   00:24:6c:5c:02:20               -               -               -           -87.0           -87.0
   00:24:6c:5c:02:21               -               -               -           -85.5          -84.57
   00:24:6c:60:cc:c2               -          -82.33          -84.89          -85.27          -84.22
   00:24:6c:60:cc:c1               -           -83.5          -85.88           -86.3          -84.23
   00:24:6c:60:cc:c0               -           -85.0          -85.25          -85.25          -83.94
   48:f8:b3:40:11:ba          -52.67          -53.18          -53.58          -53.21          -52.95
   00:24:6c:d2:99:72           -87.5           -84.6           -84.7          -84.71          -84.39
   00:24:6c:d2:99:71          -87.33          -84.36          -84.68          -84.83          -84.66
   00:24:6c:d2:99:70           -87.0          -83.67          -84.58          -85.37          -84.97
   18:64:72:15:10:91          -72.67          -75.64          -77.17          -77.92          -77.77
   18:64:72:15:10:90           -74.0          -76.73          -77.79          -78.66          -78.63
   18:64:72:15:10:92          -73.33          -76.27          -77.77          -78.48          -78.39
   00:24:6c:d2:99:60           -77.0           -74.4          -74.22          -74.42          -74.06
   00:24:6c:d2:99:61           -77.5           -74.6          -74.52          -74.66          -74.37
   00:24:6c:d2:99:62           -75.5           -74.6          -74.34          -74.64          -74.31
   00:1e:52:7b:b7:02               -          -80.75          -78.64          -79.33          -79.44
   68:7f:74:ca:6d:59               -           -79.6          -78.28          -78.16           -79.2
   18:64:72:15:10:82           -78.5           -83.0          -81.15          -80.47          -81.11
   00:24:6c:d2:9a:02           -84.0          -76.14          -75.46          -75.27          -76.78
   00:24:6c:d2:9a:00           -89.0          -77.83           -76.0          -74.93          -76.16
   00:24:6c:d2:9a:01           -89.0          -76.86          -75.88          -75.33          -76.69
   00:24:6c:5c:02:f2          -88.67          -87.82          -87.19          -87.07          -87.12
   00:24:6c:5c:01:30           -86.0          -82.11           -82.5          -82.57          -83.63
   00:24:6c:5c:02:f0           -88.0           -86.5          -86.36          -86.58          -86.91
   00:24:6c:5c:02:f1          -89.67           -87.2          -86.73          -87.09          -87.05
   00:24:6c:d2:9a:21           -74.0           -72.9          -72.56          -72.26          -71.78
   00:24:6c:5c:01:32           -88.0          -84.18          -82.97          -83.04          -83.98
   00:24:6c:5e:c8:43           -79.0          -80.67          -78.57          -78.94          -78.47
   00:24:6c:5e:c8:42               -           -78.5          -79.55          -79.65          -79.33
   00:24:6c:5e:c8:41               -           -77.0          -78.29           -78.6          -78.65
   00:24:6c:5e:c8:40               -               -          -76.67           -77.6           -78.6
   00:24:6c:60:cc:d2           -90.0           -91.0          -91.67          -91.44          -91.67
   00:24:6c:60:cc:d0               -           -90.0           -92.0          -91.62          -91.79
   00:24:6c:60:cc:d1           -89.0          -89.33          -91.56          -91.28          -91.43
   00:24:6c:5c:01:22          -63.33          -58.82          -56.42          -55.69          -59.05
   00:24:6c:d2:9a:31           -76.0           -77.2          -76.47          -77.73          -79.02
   00:24:6c:d2:9a:30          -77.33          -77.82          -76.48          -77.62          -79.09
   00:24:6c:5c:02:e2          -68.67          -65.73          -63.84          -62.67          -61.78
   00:24:6c:5c:02:e1           -69.0          -65.09          -63.13           -62.2          -61.39
   00:24:6c:5c:02:e0          -67.67          -64.55          -62.68          -61.93          -61.24
   00:24:6c:5e:c8:52               -               -               -               -           -95.0
   00:24:6c:5e:c8:53               -               -               -               -           -94.0
   00:0f:66:8a:28:4a          -81.67          -74.09          -69.03          -68.18          -69.92
   00:24:6c:d2:9a:32          -76.67          -77.18          -76.55          -77.54          -78.98
   00:24:6c:5c:01:21          -62.33          -59.82          -56.42          -55.28          -58.52
   00:24:6c:d2:9a:20          -71.67          -71.44           -71.8          -71.96          -71.39
   00:24:6c:5c:01:31          -87.67           -84.0          -82.87           -83.0          -84.07
   00:24:6c:d2:9a:22           -73.0           -71.6          -71.96          -72.59          -72.09
   00:24:6c:5c:01:20          -62.33          -58.82          -56.23          -55.44          -58.75
   00:24:6c:d2:98:01               -               -           -85.5          -85.17          -85.14
   00:24:6c:d2:98:00               -               -           -84.0           -83.4           -83.4
   00:24:6c:d2:98:02               -           -87.5          -85.67          -84.08           -84.0
          Total Macs              53              75              85              87              89
Comparing 53 common mac addresses of 89 unique
              2 Pulls   10 Pulls   30 Pulls   60 Pulls  100 Pulls
2 Pulls           0.0        1.4       1.04       0.41       0.91
10 Pulls          1.4        0.0       0.36       0.99       0.49
30 Pulls         1.04       0.36        0.0       0.63       0.13
60 Pulls         0.41       0.99       0.63        0.0        0.5
100 Pulls        0.91       0.49       0.13        0.5        0.0

All 102 accesspoints
                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   00:0e:8e:4f:ac:6b           -93.0           -93.0          -91.15          -89.16          -88.46
   00:24:6c:60:c8:42           -89.0           -89.0           -89.0           -89.0           -89.0
   00:24:6c:60:c8:40           -89.0           -89.0           -89.0           -89.0           -89.0
   00:24:6c:5e:c8:21          -59.67          -58.18          -60.55           -59.3          -59.39
   00:24:6c:5e:c8:20           -60.0          -58.27          -59.61          -58.72          -58.72
   00:24:6c:5e:c7:22           -76.0          -76.55          -77.97          -78.38          -78.43
   00:24:6c:5e:c8:22          -69.67          -66.18          -61.61          -60.77          -60.96
   00:24:6c:5c:01:a2          -84.67          -88.27          -89.56           -88.4          -88.81
   00:24:6c:5c:01:a0           -76.0          -87.11          -88.61          -87.71          -88.64
   00:24:6c:5c:01:a1           -74.0          -86.75           -88.9          -87.92          -88.73
   00:24:6c:60:cb:b2          -73.67          -73.18          -72.61          -72.08          -72.37
   00:24:6c:60:cb:b1           -73.0          -72.73          -72.35          -71.89          -72.11
   00:24:6c:60:cb:b0           -74.0          -74.73          -73.26          -72.39          -72.78
   00:24:6c:60:cd:83               -           -89.4          -89.68          -89.73          -89.58
   00:24:6c:60:cd:82          -89.67          -89.36          -89.29          -89.54          -89.69
   00:24:6c:60:cd:81           -91.0           -91.2          -90.07           -89.7          -89.64
   00:24:6c:60:cd:80               -               -          -90.27          -90.35          -90.35
   00:24:6c:5e:c7:20           -76.0           -77.2           -77.2          -77.71          -78.51
   00:24:6c:5e:c8:32           -57.0          -57.18          -56.13          -55.26          -55.59
   00:24:6c:5e:c8:30          -56.67           -57.0          -56.16          -55.33          -55.67
   00:24:6c:5e:c8:31           -57.0           -57.0          -55.97          -55.21          -55.56
   00:24:6c:5c:01:b2           -83.5           -90.3          -90.73           -90.1          -90.29
   00:24:6c:5c:01:b1           -79.0           -88.9           -90.4          -90.22          -90.07
   00:24:6c:5c:01:b0           -77.0          -90.71          -90.79          -90.24          -90.36
   00:24:6c:5e:c7:23          -75.33          -76.73          -78.13          -78.48          -78.53
   00:24:6c:60:cd:90               -           -89.0           -89.0          -89.33           -89.2
   00:24:6c:60:cd:91           -87.5           -88.6          -88.63          -87.88          -88.44
   00:24:6c:60:cd:92           -90.0          -89.18          -89.28          -89.22          -89.27
   00:24:6c:60:cd:93          -89.67          -89.27          -88.71          -88.95          -88.97
   00:24:6c:5e:c5:93           -89.0          -89.11          -89.45          -89.94          -90.04
   00:24:6c:5e:c5:92           -90.0          -89.78          -89.59           -89.9          -89.76
   00:24:6c:5e:c5:91               -               -           -89.7          -90.56          -90.14
   00:24:6c:5e:c5:90               -               -           -90.0           -90.0           -90.0
   00:24:6c:5c:02:31          -86.67          -85.45          -85.26          -84.38          -84.56
   00:24:6c:5c:02:30          -86.67          -85.27          -85.35          -84.46          -84.56
   00:24:6c:5c:02:32          -86.33          -85.27          -85.26          -84.43          -84.51
   00:24:6c:ad:6b:1a           -88.0           -88.0           -88.0           -88.0           -88.0
   68:7f:74:ca:6d:7d          -78.33          -78.45          -77.94          -80.39          -80.33
   00:24:6c:d2:99:42               -               -           -92.0           -91.5           -91.5
   00:24:6c:d2:99:43           -85.0           -85.0           -89.8          -90.14          -90.14
   00:12:17:b0:68:ca          -60.33          -62.27          -62.39          -63.28          -63.85
   00:12:17:b0:68:cd          -89.33          -89.45          -88.23          -86.54          -86.37
   00:24:6c:5e:c5:80           -87.0          -86.67           -88.0           -88.4           -88.5
   00:24:6c:5e:c5:81          -86.67          -85.73          -86.36          -87.98           -88.6
   00:24:6c:5e:c5:82           -87.0          -86.45          -87.35          -88.51          -89.09
   00:24:6c:5e:c5:83           -86.0          -86.18           -87.4          -88.71          -88.96
   00:24:6c:5c:02:22               -               -           -86.5          -85.28          -86.03
   00:24:6c:5c:02:20               -           -87.0          -87.81          -85.98          -86.56
   00:24:6c:5c:02:21               -           -86.0          -86.24          -85.37          -86.22
   00:24:6c:d2:99:53           -92.0           -92.0           -92.0           -92.0           -92.0
   48:f8:b3:40:11:ba           -50.0          -75.33          -82.57          -86.71          -86.22
   00:24:6c:d2:99:72               -           -92.0          -91.22          -91.31          -91.19
   00:24:6c:d2:99:71               -           -92.0          -91.67          -91.13          -91.15
   00:24:6c:d2:99:70               -               -               -          -90.81          -90.65
   00:24:6c:5e:c7:21           -76.0          -76.36          -77.84          -78.39          -78.57
   00:24:6c:d2:9a:11           -89.0           -89.0           -89.0           -89.0           -89.0
   00:24:6c:d2:9a:12           -90.0           -90.0           -90.0           -90.0           -90.0
   18:64:72:15:10:91           -70.0           -70.0           -70.0           -70.0           -70.0
