                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   00:12:17:b0:68:cd           -74.0           -74.0          -75.41          -75.17          -74.92
   00:24:6c:60:cd:93           -78.0           -77.5          -77.97          -77.75          -74.97
   00:24:6c:5e:c8:43           -63.0           -63.0           -61.4          -62.82          -60.89
   00:24:6c:5e:c8:42           -60.0           -62.0           -60.9          -61.98           -60.3
   00:24:6c:5e:c8:41           -61.0           -62.7           -60.8          -61.63          -60.31
   00:24:6c:5e:c8:40           -62.0           -67.5          -62.88          -64.05          -60.89
   00:24:6c:60:c8:42           -84.0           -82.5          -80.35          -79.41           -80.3
   00:24:6c:60:c8:41           -83.0           -80.0           -79.5          -78.38           -78.4
   00:24:6c:60:c8:40           -85.0           -83.5           -80.6          -80.83          -78.58
   00:24:6c:5e:c7:20               -               -               -           -86.0           -89.0
   00:24:6c:5e:c7:21               -               -               -               -           -87.5
   00:24:6c:5e:c7:22               -               -               -           -87.0          -85.67
   00:24:6c:5e:c7:23               -               -               -               -           -89.0
   00:24:6c:5c:01:a2           -88.0           -86.0           -85.0           -84.5          -84.32
   00:24:6c:5c:01:a0               -           -85.0          -82.57          -83.92          -83.89
   00:24:6c:5c:01:a1           -87.0           -85.0          -84.79          -83.61           -84.2
   18:64:72:fb:42:62               -               -          -88.71          -85.77           -87.0
   18:64:72:15:10:91           -86.0           -88.1           -86.1          -87.06           -86.7
   00:24:6c:d2:9a:32           -83.0           -81.7          -82.77          -83.77          -82.95
   00:24:6c:d2:9a:31           -84.0           -82.1          -83.47          -83.61          -83.74
   00:24:6c:d2:9a:30           -81.0           -81.8          -83.43          -83.77          -83.36
   18:64:72:15:10:81           -84.0           -88.0          -83.79          -83.89          -82.11
   18:64:72:15:10:80           -82.0           -82.0           -84.5           -84.0          -82.31
   68:7f:74:ca:6d:7d               -          -85.22          -84.35          -82.89          -83.67
   00:24:6c:60:cd:92           -78.0           -77.5          -78.63          -76.84          -74.76
   00:24:6c:60:cd:83           -66.0           -58.5          -59.37          -60.08          -60.61
   18:64:72:15:10:90           -86.0           -87.1          -86.97          -87.11          -87.06
   00:24:6c:60:cd:81           -65.0           -58.4           -59.3           -59.2          -60.45
   18:64:72:15:10:92           -87.0           -88.3          -87.63          -88.04          -87.78
   00:24:6c:d2:99:42           -70.0           -71.2          -70.23          -71.37          -72.15
   00:24:6c:5c:02:e2           -68.0           -72.4          -72.77          -73.38          -71.62
   00:24:6c:d2:99:40               -           -73.0          -70.09          -71.64          -71.18
   00:24:6c:d2:99:41           -71.0           -71.0          -69.77          -71.48          -71.29
   00:24:6c:d2:99:51           -85.0           -84.0          -82.43          -82.55          -84.51
   00:12:17:b0:68:ca           -85.0           -81.1           -83.0           -81.0          -80.99
   00:24:6c:60:ca:00               -               -           -79.0          -82.56           -80.4
   00:24:6c:d2:99:61               -               -               -           -89.0               -
   00:24:6c:60:ca:02           -83.0           -83.0          -82.22          -83.77          -80.88
   00:24:6c:60:ca:03           -86.0           -82.5          -82.77          -82.32          -81.96
   00:24:6c:5e:c8:53           -79.0           -79.7          -80.17           -79.8          -80.28
   00:24:6c:d2:9a:21           -68.0           -65.7          -63.96          -64.43          -63.17
   00:24:6c:5c:02:e1           -70.0           -71.8          -72.38          -72.45          -71.76
   00:24:6c:60:c9:a2               -               -               -           -92.0           -89.6
   00:1e:52:7b:b7:02           -84.0           -84.0               -           -83.0          -81.84
   00:24:6c:5e:c8:51           -82.0           -81.2           -79.5          -79.53          -80.21
   00:24:6c:5e:c8:52           -79.0           -78.9          -80.07          -79.38          -79.99
   48:f8:b3:40:11:ba           -57.0           -56.9          -55.67          -56.78           -57.7
   00:24:6c:60:c8:51           -92.0          -91.33          -90.67          -90.33           -91.1
   00:24:6c:60:c8:52               -           -91.0          -90.22          -90.28          -91.29
   18:64:72:15:10:82           -84.0           -88.0          -84.27          -83.56          -81.84
   00:24:6c:60:cd:82           -65.0           -58.5           -60.0          -59.58          -60.71
   00:24:6c:5e:c8:50               -           -79.8          -80.26          -80.61          -80.39
   00:24:6c:60:cd:91           -79.0           -78.8           -78.7          -77.09          -74.91
   00:24:6c:d2:99:62               -               -               -           -87.0           -90.0
   00:24:6c:60:cc:c2               -               -          -85.43          -89.56          -86.73
   00:24:6c:60:cc:c1               -           -90.0           -89.0          -86.36          -87.85
   00:24:6c:60:cc:c0               -               -               -               -           -90.0
   00:24:6c:5c:01:22           -84.0           -82.9          -83.95          -83.57          -83.36
   00:24:6c:d2:99:43           -71.0           -70.9          -69.65          -72.68          -72.19
   00:24:6c:5c:02:e0           -68.0          -71.33          -72.55          -71.92          -70.85
   00:24:6c:5c:01:21               -           -82.0          -83.33          -84.33          -84.29
   00:24:6c:d2:9a:20           -68.0          -65.33          -62.43          -64.67          -62.86
   00:24:6c:d2:99:60               -               -               -           -88.0               -
   00:24:6c:d2:9a:22           -71.0          -66.11          -65.67          -65.47          -63.44
   00:24:6c:5c:01:20               -           -82.0           -84.0          -83.33           -83.0
   18:64:72:fb:42:61           -86.0           -86.0           -88.0          -88.89           -89.0
   18:64:72:fb:42:60               -               -               -               -           -88.0
   00:24:6c:60:ca:01           -83.0           -81.5          -82.27          -80.78          -81.46
   00:24:6c:5c:02:f2           -81.0           -79.8          -79.93          -80.34          -79.65
   00:24:6c:5c:02:f0           -81.0           -80.7           -80.4          -80.57          -79.71
   00:24:6c:5c:02:f1           -81.0           -81.0          -79.73           -80.2          -79.57
   00:24:6c:60:cd:90               -           -79.6          -79.05          -76.83           -76.0
   00:24:6c:d2:99:50           -85.0           -82.6          -82.75           -82.0          -84.38
   00:24:6c:d2:99:53           -84.0           -84.0          -82.77          -81.93          -83.55
   00:24:6c:d2:99:52           -84.0           -83.5          -82.37          -81.67          -83.97
   00:24:6c:60:ca:13           -89.0           -89.8               -           -90.0          -90.62
   00:24:6c:60:ca:12           -89.0          -90.78               -           -91.0          -90.41
   00:24:6c:60:ca:11               -               -               -               -          -87.71
   00:24:6c:60:ca:10               -               -               -               -           -86.0
   00:24:6c:60:cd:80           -64.0          -59.33          -58.91          -59.25          -61.86
