All 113 accesspoints
                             0 Phone         1 Phone         2 Phone         3 Phone
   00:24:6c:60:c8:42          -82.73           -93.0           -89.0           -90.6
   00:24:6c:60:c8:41          -83.75               -           -87.5          -91.54
   00:24:6c:60:c8:40          -82.71           -88.0           -89.6          -89.69
   00:24:6c:5c:01:a2          -69.86          -82.72           -72.0          -71.77
   00:24:6c:5c:01:a0          -69.17          -83.67          -71.69           -71.6
   00:24:6c:5c:01:a1           -69.5           -82.2           -71.4           -71.2
   18:64:72:15:10:92          -67.57          -72.57           -76.9          -73.67
   00:24:6c:60:cb:b2           -88.0           -95.0               -           -93.0
   00:24:6c:60:cb:b1               -          -93.38               -           -92.0
   00:24:6c:60:cd:83          -79.65          -89.83          -85.14          -84.72
   00:24:6c:60:cd:82          -80.31           -90.0          -84.82          -84.58
   00:24:6c:60:cd:81          -79.92          -90.92          -86.43          -83.44
   00:24:6c:60:cd:80           -82.0               -               -           -83.0
   00:24:6c:60:ca:00           -79.5               -               -               -
   00:24:6c:60:ca:01           -75.8          -87.43          -79.45           -84.6
   00:24:6c:60:ca:02          -77.08          -85.05          -78.56          -88.93
   00:24:6c:60:ca:03          -76.25          -85.65          -81.41          -87.44
   00:24:6c:5c:01:b2          -75.43           -87.5          -88.15          -88.13
   00:24:6c:5c:01:b1          -75.63          -87.07          -87.92           -88.2
   00:24:6c:5c:01:b0          -75.67           -87.8          -86.85           -88.4
   00:24:6c:60:cd:90           -87.0          -89.25               -               -
   00:24:6c:60:cd:91           -87.0          -90.33               -               -
   00:24:6c:60:cd:92           -87.5          -91.48               -               -
   00:24:6c:60:cd:93           -87.0          -91.25               -               -
   00:12:17:b0:68:cd           -85.0               -               -               -
   00:24:6c:5c:02:31               -          -91.19               -               -
   00:24:6c:5c:02:30               -          -90.54               -               -
   00:24:6c:5c:02:32               -          -91.19               -               -
   00:24:6c:60:c9:a3           -86.0               -           -93.0               -
   00:24:6c:60:c9:a2           -85.0               -           -89.0               -
   00:24:6c:60:c9:a1               -               -           -87.0               -
   18:64:72:15:10:80          -75.94          -81.57           -78.6           -79.9
   68:7f:74:ca:6d:7d          -72.14          -83.52          -78.24          -77.13
   18:64:72:15:10:81          -76.55          -81.71          -78.28          -81.03
   00:24:6c:d2:99:42          -79.83          -88.21          -85.79          -86.65
   00:24:6c:d2:99:43          -78.95          -89.24          -84.64           -87.3
   00:24:6c:d2:99:40          -78.71          -89.23           -85.9           -87.0
   00:24:6c:d2:99:41           -78.0          -88.04          -86.08          -86.92
   00:24:6c:d2:99:51           -85.6               -               -               -
   00:12:17:b0:68:ca          -78.21           -88.0          -82.35          -89.43
   00:24:6c:d2:99:50          -85.18               -               -               -
   00:24:6c:d2:99:53          -85.45          -91.69               -               -
   00:24:6c:d2:99:52          -85.55          -91.63               -               -
   00:24:6c:5c:02:22          -83.13           -92.0          -91.25          -91.11
   00:24:6c:5c:02:20          -82.73               -           -87.0           -90.0
   00:24:6c:5c:02:21          -82.75          -91.54           -90.5          -90.69
   00:24:6c:60:cc:c2          -83.35           -93.0           -89.0          -86.89
   00:24:6c:60:cc:c1           -82.2           -88.0          -89.17          -90.36
   00:24:6c:60:cc:c0          -82.33           -91.0          -85.67           -86.0
   48:f8:b3:40:11:ba          -52.13          -63.73           -54.6          -54.07
   00:24:6c:d2:99:72          -81.75           -81.0          -84.72          -84.67
   00:24:6c:d2:99:71          -81.25          -80.68          -84.43          -84.63
   00:24:6c:d2:99:70          -81.25          -80.45          -84.93          -84.67
   00:24:6c:d2:9a:11          -83.13          -90.75           -91.0           -90.0
   00:24:6c:d2:9a:10          -82.87           -88.0           -91.0          -90.27
   00:24:6c:d2:9a:12          -83.04           -90.0          -90.67          -89.77
   18:64:72:15:10:91          -67.77          -72.67          -77.21           -73.7
   18:64:72:15:10:90           -67.6           -72.6          -77.29           -73.6
   00:24:6c:ad:6b:1a          -86.14               -               -               -
   00:24:6c:d2:99:60           -75.0          -85.52           -79.0          -79.88
   00:24:6c:d2:99:61           -73.7           -83.5          -78.63          -80.07
   00:24:6c:d2:99:62          -73.59          -83.56          -78.34          -79.53
   00:1e:52:7b:b7:02          -82.23           -87.0          -84.75           -78.0
   68:7f:74:ca:6d:59          -79.55          -90.39          -86.29          -92.38
   18:64:72:15:10:82          -75.06           -81.5           -78.0          -79.97
   00:24:6c:d2:9a:02          -75.04           -88.9          -82.04          -83.88
   00:24:6c:d2:9a:00          -76.12          -87.25          -79.75          -82.86
   00:24:6c:d2:9a:01          -76.36          -88.23           -81.0           -83.5
   00:24:6c:d2:98:12           -88.0               -               -               -
   00:24:6c:ad:6b:18          -85.25               -               -               -
   00:24:6c:ad:6b:19          -86.05               -               -               -
   18:64:72:fb:42:61           -86.0               -               -               -
   00:24:6c:5c:02:f2          -79.17          -82.97          -86.96           -88.1
   00:24:6c:5c:01:30          -66.87          -81.03          -80.04          -80.03
   00:24:6c:5c:02:f0           -79.4          -83.57           -87.3          -88.37
   00:24:6c:5c:02:f1          -79.33           -83.1          -87.08           -88.3
   00:24:6c:5c:01:31           -66.9          -81.53          -79.93          -79.87
   00:24:6c:d2:98:11           -88.0               -               -               -
   00:24:6c:5c:01:32          -66.93           -82.0          -80.18          -79.87
   00:24:6c:5e:c8:43          -74.08          -84.38          -79.81          -81.83
   00:24:6c:5e:c8:42          -74.67          -82.83          -79.32          -81.11
   00:24:6c:5e:c8:41          -75.43          -86.05          -79.75          -81.15
   00:24:6c:5e:c8:40          -76.25          -84.06          -79.43          -80.14
   00:24:6c:60:cc:d2          -84.58          -85.45          -90.95          -92.26
   00:24:6c:60:cc:d0          -84.26           -85.5          -89.92           -90.5
   00:24:6c:60:cc:d1          -84.63          -85.86          -90.15          -92.17
   00:24:6c:5c:01:22          -59.53          -69.87          -65.53          -67.17
   00:24:6c:d2:9a:31           -75.0           -70.5          -77.34           -74.2
   00:24:6c:5c:01:20           -61.3          -67.37           -64.9          -67.13
   18:64:72:fb:42:72          -86.18               -           -91.0               -
   18:64:72:fb:42:70           -86.0               -               -               -
   18:64:72:fb:42:71          -85.36               -               -               -
   00:24:6c:5c:02:e2          -71.38          -82.32          -76.41           -81.2
   00:24:6c:5c:02:e1          -71.37           -81.5           -75.5           -81.7
   00:24:6c:5c:02:e0          -70.97           -81.5          -75.32          -80.87
   00:24:6c:5e:c8:50          -84.95          -90.27               -          -91.75
   00:24:6c:5e:c8:51          -85.25          -86.87               -          -91.35
   00:24:6c:5e:c8:52           -84.9           -88.8               -          -91.35
   00:24:6c:5e:c8:53           -85.6           -89.3           -94.0          -91.56
   00:0f:66:8a:28:4a          -69.63           -80.1          -75.27           -78.5
   00:24:6c:d2:9a:32          -74.96           -70.6          -77.34          -74.33
   00:24:6c:5c:01:21          -61.93          -68.53          -64.53           -67.4
   00:24:6c:d2:9a:20          -66.67          -76.33          -70.17          -74.97
   00:24:6c:d2:9a:21          -66.73          -75.63          -70.63           -74.9
   00:24:6c:d2:9a:22          -66.03          -76.27           -70.2           -75.0
   00:24:6c:d2:9a:30          -74.97           -70.8          -77.18           -74.1
   00:24:6c:60:ca:13           -85.8          -92.07               -           -92.0
   00:24:6c:60:ca:12          -86.25          -88.27               -           -91.0
   00:24:6c:60:ca:11           -86.0           -92.0               -           -91.0
   00:24:6c:60:ca:10          -85.33               -               -               -
   00:24:6c:d2:98:01           -85.0           -87.0           -88.0               -
   00:24:6c:d2:98:00           -85.0           -88.0           -87.0               -
   00:24:6c:d2:98:02           -85.0           -89.5           -87.5           -97.0
          Total Macs             108              93              82              85
Comparing 74 common mac addresses of 113 unique
              0 Phone    1 Phone    2 Phone    3 Phone
0 Phone           0.0        4.5        2.5       12.0
1 Phone           4.5        0.0        2.0        7.5
2 Phone           2.5        2.0        0.0        9.5
3 Phone          12.0        7.5        9.5        0.0


Average Table:
       0.0        4.5        2.5       12.0
       4.5        0.0        2.0        7.5
       2.5        2.0        0.0        9.5
      12.0        7.5        9.5        0.0
