All 132 accesspoints
                                 0 D            90 D           180 D           270 D        360 Spin
   00:24:6c:60:c8:42          -86.89           -85.7          -83.78          -87.26          -85.44
   00:24:6c:60:c8:41          -87.38          -84.97          -83.89          -86.16          -86.54
   00:24:6c:60:c8:40          -88.08          -85.32          -84.24          -85.17          -85.67
   00:24:6c:5e:c8:21               -           -92.0               -           -88.0           -87.0
   00:24:6c:5e:c8:20               -               -               -           -87.0               -
   00:24:6c:5e:c8:22               -               -               -          -85.62               -
   00:24:6c:5c:01:a2          -72.63          -74.43          -75.43           -72.7           -72.0
   00:24:6c:5c:01:a0          -69.27          -75.17          -76.93          -70.42          -74.53
   00:24:6c:5c:01:a1           -67.8           -74.8           -76.2          -69.87           -73.2
   00:24:6c:60:c9:b2           -91.0          -91.82          -90.25          -90.73          -92.92
   00:24:6c:60:cb:b2           -85.5          -89.14          -88.47           -88.5          -86.17
   00:24:6c:60:cb:b1          -85.63          -89.03           -87.5          -87.63           -85.7
   00:24:6c:60:cb:b0           -84.3          -87.55          -86.73           -86.6          -85.67
   00:24:6c:60:cd:83          -83.86          -88.05          -88.06          -85.56          -88.86
   00:24:6c:60:cd:82          -84.47          -87.88          -89.09          -85.74          -86.53
   00:24:6c:60:cd:81          -83.16          -86.92          -89.35           -87.0          -87.38
   00:24:6c:60:cd:80          -83.78           -85.0               -               -           -90.0
   00:24:6c:60:ca:00           -84.0               -               -           -80.0           -77.0
   00:24:6c:60:ca:01          -84.17          -79.38           -81.0          -79.74          -80.71
   00:24:6c:60:ca:02          -83.67           -79.6          -81.48          -80.77          -80.97
   00:24:6c:d2:98:11          -89.76           -89.4          -88.85          -89.82          -87.48
   00:24:6c:5c:01:b2           -79.7          -78.97          -81.13          -80.67          -80.03
   00:24:6c:5c:01:b1          -79.83           -78.8          -80.93           -80.8          -79.83
   00:24:6c:5c:01:b0          -80.03          -79.13           -81.6          -80.67          -80.13
   00:24:6c:60:cd:90          -87.68          -87.21          -86.08          -87.32          -87.71
   00:24:6c:60:cd:91          -87.07          -86.73          -86.97          -86.77          -87.93
   00:24:6c:60:cd:92          -87.03           -86.8          -87.73          -87.77           -88.0
   00:24:6c:60:cd:93          -86.97           -86.8          -87.83          -87.57          -88.03
   00:12:17:b0:68:cd               -               -          -86.23           -84.0          -86.67
   00:24:6c:5c:02:31          -81.37           -83.2          -81.03          -83.87           -83.9
   00:24:6c:5c:02:30           -81.5          -83.47          -80.57          -84.03          -83.87
   00:24:6c:5c:02:32          -81.37           -83.4          -80.97          -84.03          -83.97
   00:24:6c:60:c9:a3           -93.0          -89.52           -90.2           -90.0               -
   18:64:72:15:10:82          -85.81               -          -83.45          -79.65          -83.39
   00:24:6c:60:c9:a1               -           -88.0          -89.09           -87.8           -88.0
   00:24:6c:60:c9:a0               -               -               -               -           -88.0
   00:24:6c:5e:c0:21               -               -           -92.0               -           -90.0
   00:24:6c:5e:c0:22           -93.0           -88.0               -               -           -92.0
   00:24:6c:ad:6b:1a           -88.0           -85.0          -89.14          -87.55           -87.1
   00:24:6c:5c:02:f0           -81.5          -79.53          -78.57           -79.5           -79.9
   68:7f:74:ca:6d:7d           -78.4           -70.8          -77.47           -71.9          -74.03
   00:24:6c:60:c9:b3           -92.0           -90.0           -91.0          -90.35           -91.0
   00:24:6c:5c:02:f1          -80.93          -79.47           -78.7          -78.77          -79.67
   00:24:6c:d2:99:42          -82.47          -84.97          -84.58          -81.03           -82.9
   00:24:6c:d2:99:43          -82.83          -83.97          -84.53          -82.07          -83.41
   00:24:6c:d2:99:40          -83.12           -85.0           -84.5          -81.29          -81.25
   00:24:6c:d2:99:41          -82.63          -84.13          -84.04          -81.03          -82.58
   00:24:6c:d2:99:51          -89.29          -88.71          -83.52           -85.1           -87.5
   00:12:17:b0:68:ca          -89.17           -87.3           -88.0           -84.7          -84.45
   00:24:6c:60:c9:b1               -               -               -          -88.71           -91.0
   00:24:6c:d2:99:50          -88.45               -          -87.45           -87.0          -88.27
   00:24:6c:d2:99:53          -89.73          -88.67           -88.8          -87.63           -88.5
   00:24:6c:d2:99:52          -89.77           -89.1          -88.63           -87.4          -88.63
   00:24:6c:5c:02:22          -84.07           -85.0          -83.64               -               -
   00:24:6c:5c:02:20           -83.5           -83.5           -83.0               -           -86.0
   00:24:6c:5c:02:21           -84.5           -84.0           -83.0          -86.43               -
   00:24:6c:60:cc:c2          -82.13           -89.0          -85.07          -82.52          -86.32
   00:24:6c:60:cc:c1          -84.41           -89.0          -85.18          -81.94           -86.0
   00:24:6c:60:cc:c0          -83.61               -          -84.55          -83.92          -87.75
   00:24:6c:5e:c0:32               -               -           -91.0               -          -92.23
   00:24:6c:5e:c0:30               -               -               -               -           -91.0
   00:24:6c:5e:c0:31               -               -           -92.0           -91.0           -90.0
   48:f8:b3:40:11:ba          -49.63          -54.43          -56.23          -48.47          -53.07
   00:24:6c:d2:99:72          -69.37          -71.43          -71.37          -73.37           -71.6
   00:24:6c:d2:99:71          -69.17          -71.37           -71.3          -72.73          -71.33
   00:24:6c:d2:99:70          -70.27          -72.97          -72.27          -73.43          -74.83
   00:24:6c:d2:9a:11          -87.38          -81.52          -83.84           -86.5          -85.96
   00:24:6c:d2:9a:10          -87.19          -81.83          -83.93          -85.77           -85.0
   00:24:6c:d2:9a:12          -88.05          -81.77          -84.38          -86.43          -86.19
   18:64:72:15:10:91          -73.57           -73.4           -72.6          -71.17          -73.53
   18:64:72:15:10:90          -73.43          -73.21          -72.53           -71.0           -73.1
   18:64:72:15:10:92          -73.53          -72.67           -72.5           -70.8          -73.37
   00:24:6c:d2:99:60           -76.5           -73.6           -74.2          -77.33          -76.53
   00:24:6c:d2:99:61          -75.97           -73.0           -74.4          -77.33           -74.7
   00:24:6c:d2:99:62          -75.47           -72.9           -76.4          -76.25          -74.77
   00:1e:52:7b:b7:02           -80.0               -           -82.0               -               -
   68:7f:74:ca:6d:59          -83.23          -84.24          -86.33          -87.46           -85.5
   00:24:6c:d2:9a:02          -82.52          -81.07          -79.57          -78.53           -81.0
   00:24:6c:d2:9a:00          -83.62          -82.17           -79.1          -78.71          -79.26
   00:24:6c:d2:9a:01          -82.52          -82.93          -80.63          -79.76           -79.4
   00:24:6c:d2:98:12          -89.33           -89.8           -88.5          -90.46          -87.53
   00:24:6c:ad:6b:18           -89.0           -85.5           -85.0          -87.11          -84.83
   00:24:6c:ad:6b:19          -89.18           -85.0          -88.57           -87.4          -85.94
   18:64:72:fb:42:61           -89.0               -               -               -               -
   18:64:72:fb:42:60           -88.0               -               -               -               -
   00:24:6c:5c:02:f2           -81.1          -79.43          -78.63           -78.8          -79.87
   00:24:6c:5c:01:30          -78.07          -75.87          -74.53          -74.73           -76.1
   18:64:72:15:10:80          -85.95          -89.25          -83.79          -82.23          -82.73
   18:64:72:15:10:81          -84.07          -89.53          -84.58           -80.5          -81.45
   00:24:6c:d2:98:10           -88.0               -          -88.46           -89.0          -86.09
   00:24:6c:5c:01:31          -78.87          -75.67           -74.7           -74.5           -76.1
   00:24:6c:60:ca:03          -83.59           -79.8          -81.42          -81.12          -80.52
   00:24:6c:5c:01:32           -79.1           -76.1          -74.47           -74.6          -76.17
   00:24:6c:5e:c8:43          -83.52           -82.0          -79.39          -76.34          -79.48
   00:24:6c:5e:c8:42          -83.09          -83.31          -80.44          -76.27          -78.44
   00:24:6c:5e:c8:41          -84.47           -83.8          -79.24          -76.71          -79.14
   00:24:6c:5e:c8:40           -83.0               -           -81.0               -           -77.0
   00:24:6c:60:cc:d2          -82.03           -78.1          -78.89           -76.4          -78.37
   00:24:6c:60:cc:d0          -81.63          -78.27          -79.11           -77.4          -77.81
   00:24:6c:60:cc:d1          -81.96           -77.9          -78.33          -76.63          -78.39
   00:24:6c:d2:9a:32          -62.33           -64.6           -66.6          -63.07          -64.43
   00:24:6c:d2:9a:31          -62.23          -64.43          -66.07          -62.43          -63.47
   00:24:6c:5c:01:20           -66.0           -59.0          -68.03          -64.27           -66.1
   00:24:6c:60:c9:b0           -91.0               -               -          -90.64           -92.0
   18:64:72:fb:42:72          -82.83           -89.3          -85.55           -89.0          -87.61
