All 128 accesspoints
                                 0 F             1 F             2 F             3 F
   00:24:6c:60:c8:42          -87.54           -89.5          -88.25           -88.0
   00:24:6c:60:c8:41          -87.04          -92.17          -88.18           -86.9
   00:24:6c:60:c8:40          -87.41          -89.39          -88.96          -87.85
   00:24:6c:5e:c8:21           -90.0           -90.0               -               -
   00:24:6c:5e:c8:20           -91.0           -92.0               -               -
   00:24:6c:5e:c8:22           -90.0           -90.0           -90.0               -
   00:24:6c:5c:01:a2          -73.34           -76.1          -77.03           -74.2
   00:24:6c:5c:01:a0           -72.5          -76.23          -76.93           -74.1
   00:24:6c:5c:01:a1           -72.1          -76.33          -77.63          -74.37
   00:24:6c:60:c9:b2           -91.5               -           -91.2           -92.0
   00:24:6c:60:cb:b2           -89.5          -88.43          -89.43          -88.03
   00:24:6c:60:cb:b1           -88.4           -88.3          -87.47           -87.6
   00:24:6c:60:cb:b0          -88.79          -88.07          -88.11          -88.35
   00:24:6c:60:cd:83          -81.96          -85.86           -88.0          -87.44
   00:24:6c:60:cd:82          -81.61          -83.33          -85.53          -90.83
   00:24:6c:60:cd:81           -82.0          -84.71          -88.19           -87.0
   00:24:6c:60:cd:80           -80.5           -86.5           -90.0           -90.0
   00:24:6c:60:ca:00           -84.5          -83.38          -78.39           -85.4
   00:24:6c:60:ca:01          -82.52          -79.74          -79.58          -82.14
   00:24:6c:60:ca:02          -81.81          -81.75          -79.67           -80.2
   00:24:6c:d2:98:11          -88.54          -90.25          -89.77          -89.37
   00:24:6c:5c:01:b2           -81.0           -82.7          -81.53          -81.93
   00:24:6c:5c:01:b1          -80.93          -82.63          -81.33           -82.1
   00:24:6c:5c:01:b0          -80.97          -82.53          -81.37          -82.23
   00:24:6c:60:cd:90           -83.5          -87.12          -83.88          -87.96
   00:24:6c:60:cd:91          -83.37          -86.77          -86.27          -87.46
   00:24:6c:60:cd:92          -84.03          -86.97          -86.27          -88.43
   00:24:6c:60:cd:93          -84.53          -86.97           -86.1           -88.7
   00:12:17:b0:68:cd           -88.0           -89.0               -               -
   00:24:6c:5c:02:31          -89.33          -88.72          -90.77          -90.13
   00:24:6c:5c:02:30          -88.85          -88.89          -89.89          -89.77
   00:24:6c:5c:02:32          -89.57          -88.75          -90.73          -90.07
   00:24:6c:60:c9:a3           -91.0               -           -90.2               -
   00:24:6c:60:c9:a2           -90.6          -88.29           -92.0               -
   00:24:6c:60:c9:a1           -91.0           -91.0               -           -91.0
   00:24:6c:60:c9:a0               -           -90.0           -90.0               -
   00:24:6c:ad:6b:1a          -87.68          -86.28           -87.0          -87.95
   00:24:6c:5c:02:f0          -80.07          -79.87          -78.43           -78.9
   68:7f:74:ca:6d:7d          -77.77          -77.13           -76.3           -79.2
   00:24:6c:60:c9:b3           -92.0           -92.0          -91.64               -
   00:24:6c:5c:02:f1          -79.67           -79.6           -78.1           -78.4
   00:24:6c:d2:99:42          -84.54          -84.92          -86.11          -84.04
   00:24:6c:d2:99:43           -83.9           -85.0          -87.22          -83.75
   00:24:6c:d2:99:40          -82.35          -83.92          -85.25           -84.8
   00:24:6c:d2:99:41          -84.13          -84.26           -85.0          -83.62
   00:24:6c:d2:99:51          -88.37          -89.94          -87.96          -88.84
   00:12:17:b0:68:ca          -77.93          -77.27          -82.27           -81.7
   00:24:6c:60:c9:b1               -               -          -90.25               -
   00:24:6c:d2:99:50           -89.0           -89.0          -87.25           -89.0
   00:24:6c:d2:99:53          -89.53           -89.6          -89.43          -88.97
   00:24:6c:d2:99:52          -88.77           -88.9           -88.6          -88.85
   00:24:6c:5c:02:22               -           -89.0          -90.71           -89.0
   00:24:6c:5c:02:21               -           -89.0           -87.0               -
   00:24:6c:60:cc:c2          -86.17           -89.0          -86.86          -86.61
   00:24:6c:60:cc:c1          -85.64           -87.5          -87.21          -86.23
   00:24:6c:60:cc:c0          -85.36           -86.0          -87.64               -
   00:24:6c:5e:c0:32           -90.0               -               -               -
   00:24:6c:5e:c0:30           -90.0               -               -               -
   00:24:6c:5e:c0:31           -90.0           -93.0               -               -
   48:f8:b3:40:11:ba          -50.23          -57.13          -55.23          -53.83
   00:24:6c:d2:99:72           -72.2          -72.97          -71.93          -71.63
   00:24:6c:d2:99:71           -72.3          -72.53          -72.53           -71.6
   00:24:6c:d2:99:70          -72.79          -72.83          -72.53           -72.1
   00:24:6c:d2:9a:11          -83.24          -85.16          -85.58          -85.22
   00:24:6c:d2:9a:10          -82.86          -83.95          -82.95          -84.27
   00:24:6c:d2:9a:12           -83.2           -84.9          -85.04          -84.36
   18:64:72:15:10:91          -71.67           -73.1          -73.27          -71.27
   18:64:72:15:10:90           -71.4          -73.32          -72.82          -70.97
   18:64:72:15:10:92           -71.4           -73.1          -72.83           -70.9
   00:24:6c:d2:99:60          -76.17          -76.83          -75.97          -76.03
